column,before,after,rule,rows
manufacturer,LA GAME,LA GAMME,alias fabricante (manufacturer_aliases.csv),2
manufacturer,ELCTROVOICE,ELECTRO-VOICE,alias fabricante (manufacturer_aliases.csv),2
manufacturer,GE FORCE,GEFORCE,alias fabricante (manufacturer_aliases.csv),2
manufacturer,BOSH,BOSCH,alias fabricante (manufacturer_aliases.csv),2
manufacturer,KINKSTON,KINGSTON,alias fabricante (manufacturer_aliases.csv),2
manufacturer,MITSUBHISHI,MITSUBISHI,alias fabricante (manufacturer_aliases.csv),1
manufacturer,EL GATO,ELGATO,alias fabricante (manufacturer_aliases.csv),1
manufacturer,LITE - PUTER,LITE-PUTER,alias fabricante (manufacturer_aliases.csv),1
manufacturer,KLIP EXTREME,KLIP XTREME,alias fabricante (manufacturer_aliases.csv),1
availabilityGroup,mayúsc./tildes variables,MAYÚSCULAS sin tilde,formato,197
reportGroup,mayúsc./tildes variables,MAYÚSCULAS sin tilde,formato,1932
reportGroup,LINE ARRY,LINE ARRAY,ortografía (value_corrections.csv),8
reportGroup,MAPING,MAPPING,ortografía (value_corrections.csv),4
department,mayúsc./tildes variables,MAYÚSCULAS sin tilde,formato,76
revenueGroup,mayúsc./tildes variables,MAYÚSCULAS sin tilde,formato,4189
revenueGroup,SUBARRIENDO GENERADFOR,SUBARRIENDO GENERADOR,ortografía (value_corrections.csv),20
exchangeGroup,mayúsc./tildes variables,MAYÚSCULAS sin tilde,formato,1166
exchangeGroup,AMPLIFICADOREWS,AMPLIFICADORES,ortografía (value_corrections.csv),334
exchangeGroup,SWITH DE VIDEO,SWITCH DE VIDEO,ortografía (value_corrections.csv),178
exchangeGroup,MEMRORIAS,MEMORIAS,ortografía (value_corrections.csv),171
exchangeGroup,COTROL TACTIL ALAMBRICO,CONTROL TACTIL ALAMBRICO,ortografía (value_corrections.csv),4
exchangeGroup,CABLE S,CABLES,ortografía (value_corrections.csv),5
exchangeGroup,AUDIO MICROPHONE S,AUDIO MICROPHONES,ortografía (value_corrections.csv),4
